,fecha,prediction,t_venta,type,venta,prediction_ventan,item_id,rubro_id
0,2021-07-14,0.5727920532226562,0.5138007621356613,training,4.62,5.548370910031823,86943,1
1,2021-07-15,0.40775418281555176,0.3954966666767699,training,3.136,3.2694981867132613,86943,1
2,2021-07-16,0.4721401631832123,0.516946150212073,training,4.666,4.044820493190181,86943,1
3,2021-07-17,0.7704605460166931,0.7560044889593167,training,9.528000000000002,9.929913414766219,86943,1
4,2021-07-18,0.7546262741088867,0.7865057523464195,training,10.394,9.490462671089942,86943,1
5,2021-07-19,0.674923837184906,0.6618765711031738,training,7.248999999999999,7.532700474187273,86943,1
6,2021-07-20,0.7110018730163574,0.6662023964339162,training,7.341999999999999,8.369010169027499,86943,1
7,2021-07-21,0.44781774282455444,0.3999488883040575,training,3.1839999999999993,3.7366348170262533,86943,1
8,2021-07-22,0.5962129831314087,0.6036732012763388,training,6.094,5.95816019635056,86943,1
9,2021-07-23,0.5115239024162292,0.4833847633536007,training,4.194000000000001,4.5869350535682925,86943,1
10,2021-07-24,0.8613627552986145,0.8588595180299966,training,12.744000000000002,12.833454175876287,86943,1
11,2021-07-25,0.4194926917552948,0.3909924724172798,training,3.088,3.401381101346269,86943,1
12,2021-07-26,0.5354592800140381,0.5456772524565214,training,5.103999999999998,4.944479121568782,86943,1
13,2021-07-27,0.9109247326850891,0.8762603772670124,training,13.378,14.729486227184792,86943,1
14,2021-07-28,1.0313146114349365,1.0,training,18.813999999999997,20.48908639139078,86943,1
15,2021-07-29,0.7712713479995728,0.7692614513029525,training,9.896000000000003,9.952904731695012,86943,1
16,2021-07-30,0.6379861831665039,0.6325865761208289,training,6.646000000000001,6.753749353992024,86943,1
17,2021-07-31,0.8768920302391052,0.885750177817156,training,13.736000000000002,13.40155637702738,86943,1
18,2021-08-01,0.6519286632537842,0.6537460427450018,training,7.077,7.039046721939915,86943,1
19,2021-08-02,0.5518339276313782,0.5424398227118638,training,5.053,5.202176175458566,86943,1
20,2021-08-03,0.2966963052749634,0.27797006122150797,training,2.0500000000000003,2.2016727779612926,86943,1
21,2021-08-04,0.6185421943664551,0.60171011375192,training,6.058,6.372704111268127,86943,1
22,2021-08-05,0.3922402858734131,0.3891000952711877,training,3.0679999999999996,3.1012415529687614,86943,1
23,2021-08-06,0.6740251779556274,0.6546526459700831,training,7.095999999999995,7.512850870035061,86943,1
24,2021-08-07,0.49238574504852295,0.4433412236304491,training,3.6820000000000004,4.316586627028948,86943,1
25,2021-08-08,0.5699653625488281,0.5199309781718569,training,4.710000000000001,5.500574233056807,86943,1
26,2021-08-09,0.4705061912536621,0.4444932758775105,training,3.6959999999999997,4.023502464872784,86943,1
27,2021-08-10,0.40111619234085083,0.36684432589906224,training,2.8400000000000003,3.1966767726551186,86943,1
28,2021-08-11,0.32894161343574524,0.2695287483820355,training,1.984,2.4807294792294607,86943,1
29,2021-08-12,0.48938965797424316,0.476337673535916,training,4.1,4.275464245184044,86943,1
30,2021-08-13,0.7218456268310547,0.7286705277325886,training,8.808,8.63604390465799,86943,1
31,2021-08-14,0.7274119853973389,0.7224840263943428,training,8.652000000000001,8.776061379049102,86943,1
32,2021-08-15,0.6847196221351624,0.6787619910506765,training,7.618,7.752095168873275,86943,1
33,2021-08-16,0.6729018688201904,0.6773265839484683,training,7.5859999999999985,7.488104115182583,86943,1
34,2021-08-17,0.5614651441574097,0.5050514722585469,training,4.494,5.358935224697634,86943,1
35,2021-08-18,0.30677056312561035,0.27210627918706837,training,2.0040000000000004,2.286365827872965,86943,1
36,2021-08-19,0.4962709844112396,0.47023707330677234,training,4.02,4.370390675130994,86943,1
37,2021-08-20,0.6889619827270508,0.7044807432489801,training,8.212000000000002,7.848852798085872,86943,1
38,2021-08-21,0.7536289691925049,0.7600513817141021,training,9.638999999999998,9.463383371854409,86943,1
39,2021-08-22,0.614233136177063,0.634901008229716,training,6.692000000000001,6.290827027557463,86943,1
40,2021-08-23,0.6077696084976196,0.6077311675149905,training,6.169000000000001,6.169714250650789,86943,1
41,2021-08-24,0.3698738217353821,0.3878650544416063,training,3.0549999999999997,2.870267988253342,86943,1
42,2021-08-25,0.03905186057090759,0.008231883980424175,training,0.516,0.6420571343482189,86943,1
43,2021-08-26,0.4667879343032837,0.4731468880917623,training,4.058,3.975326421577585,86943,1
44,2021-08-27,0.13878370821475983,0.1135949242670825,training,0.992,1.1263770392529944,86943,1
45,2021-08-28,0.864662766456604,0.8560418121634273,training,12.644000000000002,12.952271690114507,86943,1
46,2021-08-29,0.25155729055404663,0.20185935221511744,training,1.504,1.8482050719133332,86943,1
47,2021-08-30,0.6733886003494263,0.6773265839484683,training,7.5859999999999985,7.49881807650244,86943,1
48,2021-08-31,0.6231206655502319,0.5876248311096377,training,5.804999999999999,6.46070811081279,86943,1
49,2021-09-01,0.5062983632087708,0.4705444050049619,training,4.024000000000001,4.511782588505352,86943,1
50,2021-09-02,0.46488410234451294,0.4746696009072281,training,4.077999999999999,3.9508383173540045,86943,1
51,2021-09-03,0.15090937912464142,0.12012522822273214,training,1.0259999999999998,1.1942604766128748,86943,1
52,2021-09-04,0.652769923210144,0.6797457450181281,training,7.640000000000001,7.056592969044807,86943,1
53,2021-09-05,0.05893076956272125,0.010262704071951215,training,0.524,0.7288715856471155,86943,1
54,2021-09-06,0.749584436416626,0.7376913278387409,training,9.039999999999997,9.354278963819416,86943,1
55,2021-09-07,0.03761958330869675,0.00721245161285818,training,0.512,0.6359731859817546,86943,1
56,2021-09-08,0.6404293775558472,0.6083227634484923,training,6.179999999999999,6.803001074974231,86943,1
