,fecha,prediction,t_venta,type,venta,prediction_ventan,item_id,rubro_id
0,2021-07-14,0.007770508527755737,0.0,training,1.0,1.0361065649370662,494937,61
1,2021-07-15,0.46940892934799194,0.5440680443502757,training,6.000000000000001,4.894390782085904,494937,61
2,2021-07-16,0.6745148301124573,0.6532125137753438,training,8.000000000000002,8.452459511223163,494937,61
3,2021-07-17,0.43701720237731934,0.3979400086720376,training,3.999999999999999,4.470754144551996,494937,61
4,2021-07-18,0.5116243958473206,0.5440680443502757,training,6.000000000000001,5.496125275208293,494937,61
5,2021-07-19,0.12510976195335388,0.17609125905568132,training,2.0000000000000004,1.667717007892283,494937,61
6,2021-07-20,0.2635229527950287,0.2430380486862945,training,2.5,2.6690442409014454,494937,61
7,2021-07-21,0.3332788944244385,0.3010299956639812,training,3.0,3.3083292961891164,494937,61
8,2021-07-22,0.2828238606452942,0.3010299956639812,training,3.0,2.8357814654830604,494937,61
9,2021-07-23,0.7099770903587341,0.7403626894942439,training,9.999999999999996,9.256686610994008,494937,61
10,2021-07-24,0.48136991262435913,0.47712125471966244,training,5.0,5.058985431889932,494937,61
11,2021-07-25,0.464680552482605,0.47712125471966244,training,5.0,4.83056374947514,494937,61
12,2021-07-26,0.24049250781536102,0.17609125905568132,training,2.0000000000000004,2.4795453685553532,494937,61
13,2021-07-27,0.5632614493370056,0.5440680443502757,training,6.000000000000001,6.316298987127429,494937,61
14,2021-07-28,0.2185150682926178,0.17609125905568132,training,2.0000000000000004,2.307844336604634,494937,61
15,2021-07-29,0.1683543473482132,0.17609125905568132,training,2.0000000000000004,1.947028548756152,494937,61
16,2021-07-30,0.7373210787773132,0.698970004336019,training,9.000000000000002,9.923229903622598,494937,61
17,2021-07-31,0.008637689054012299,0.0,training,1.0,1.0401762365974583,494937,61
18,2021-08-01,0.6383656859397888,0.6532125137753438,training,8.000000000000002,7.697524916980386,494937,61
19,2021-08-02,0.2092612385749817,0.17609125905568132,training,2.0000000000000004,2.238107288985328,494937,61
20,2021-08-03,0.30300360918045044,0.3010299956639812,training,3.0,3.0182190182672635,494937,61
21,2021-08-04,0.31873130798339844,0.3010299956639812,training,3.0,3.1664032722958204,494937,61
22,2021-08-05,0.3091450333595276,0.3010299956639812,training,3.0,3.0754449297478077,494937,61
23,2021-08-06,0.1846572607755661,0.17609125905568132,training,2.0000000000000004,2.059759250417145,494937,61
24,2021-08-07,0.38667160272598267,0.3979400086720376,training,3.999999999999999,3.8719362672188415,494937,61
25,2021-08-08,0.18622981011867523,0.17609125905568132,training,2.0000000000000004,2.0708585031011135,494937,61
26,2021-08-09,0.3214772343635559,0.3010299956639812,training,3.0,3.192829767462017,494937,61
27,2021-08-10,0.401472806930542,0.3010299956639812,training,3.0,4.040838720524524,494937,61
28,2021-08-11,0.3294088840484619,0.3010299956639812,training,3.0,3.270108199879548,494937,61
29,2021-08-12,0.32146453857421875,0.3010299956639812,training,3.0,3.192707199693783,494937,61
30,2021-08-13,0.4110528230667114,0.3979400086720376,training,3.999999999999999,4.153269065974563,494937,61
31,2021-08-14,0.4179231524467468,0.3979400086720376,training,3.999999999999999,4.235439533756163,494937,61
32,2021-08-15,0.17989225685596466,0.17609125905568132,training,2.0000000000000004,2.0263715979892707,494937,61
33,2021-08-16,0.5164515376091003,0.5440680443502757,training,6.000000000000001,5.568731848397129,494937,61
34,2021-08-17,0.3331323266029358,0.3010299956639812,training,3.0,3.3068755455129297,494937,61
35,2021-08-18,0.18700240552425385,0.17609125905568132,training,2.0000000000000004,2.07632632009745,494937,61
36,2021-08-19,0.19432766735553741,0.17609125905568132,training,2.0000000000000004,2.128654908737042,494937,61
37,2021-08-20,0.5369707942008972,0.5440680443502757,training,6.000000000000001,5.886535488187597,494937,61
38,2021-08-21,0.5691689848899841,0.5440680443502757,training,6.000000000000001,6.416499649797666,494937,61
39,2021-08-22,0.3157392740249634,0.3010299956639812,training,3.0,3.137797850724133,494937,61
40,2021-08-23,0.35093772411346436,0.3010299956639812,training,3.0,3.4871203684362335,494937,61
41,2021-08-24,0.5193868279457092,0.5440680443502757,training,6.000000000000001,5.613278673675275,494937,61
42,2021-08-25,0.374786913394928,0.3979400086720376,training,3.999999999999999,3.7404209528996795,494937,61
43,2021-08-26,0.6370578408241272,0.6532125137753438,training,8.000000000000002,7.671372373872014,494937,61
44,2021-08-27,0.7412903904914856,0.8129133566428556,training,12.0,10.023522329560171,494937,61
45,2021-08-28,0.3120216727256775,0.3010299956639812,training,3.0,3.102529082262195,494937,61
46,2021-08-29,0.5993536114692688,0.698970004336019,training,9.000000000000002,6.950301653327948,494937,61
47,2021-08-30,0.17161107063293457,0.17609125905568132,training,2.0000000000000004,1.9692110375192269,494937,61
48,2021-08-31,0.7567946314811707,0.698970004336019,training,9.000000000000002,10.424169212046712,494937,61
49,2021-09-01,0.5777279138565063,0.6020599913279623,training,6.999999999999998,6.564111282509688,494937,61
50,2021-09-02,0.46232181787490845,0.47712125471966244,training,5.0,4.798982705495939,494937,61
51,2021-09-03,0.19143272936344147,0.17609125905568132,training,2.0000000000000004,2.1078691466243638,494937,61
52,2021-09-04,0.324324369430542,0.3010299956639812,training,3.0,3.220407295472487,494937,61
53,2021-09-05,0.3814994692802429,0.3010299956639812,training,3.0,3.814259154940138,494937,61
54,2021-09-06,0.53254634141922,0.5440680443502757,training,6.000000000000001,5.816733837201607,494937,61
55,2021-09-07,0.6269471049308777,0.6020599913279623,training,6.999999999999998,7.471827428561706,494937,61
