Unnamed: 0,item_id,epocas,prediction_order,auto_order,training_mse,training_rmse,training_mae,trainig_mape,validation_mse,validation_rmse,validation_mae,validation_mape
0,22619,46,14,180,1.3762092351379156,1.8939518588788864,1.039886932673778,12.548577273288949,1.3762092351379156,18.74710162735509,3.6552582906581783,55.307974718875165
0,23771,38,14,180,0.7803452385765843,0.6089386913691464,0.4625610534407793,9.637201256407506,0.7803452385765843,27.327142449528143,3.5732781696653464,56.059633954018985
0,23772,55,14,180,1.0788330126092112,1.1638806690954664,0.7905770928953191,10.650992245240715,1.0788330126092112,66.37347445051095,6.895861964659956,50.97368475104843
0,240129,66,14,180,2.274345143656951,5.172645832475958,1.622326943602126,9.577384543066394,2.274345143656951,275.073074677348,13.577979088884094,44.556533654786655
0,24086,73,14,180,1.17389822083718,1.3780370328846965,0.9641754012187032,13.115067096514013,1.17389822083718,30.8896468116362,4.418680463037306,54.06736993635233
0,24087,20,14,180,8.626773930649708,74.42122845053743,6.547131720632414,25.401051095627054,8.626773930649708,45.66265856572079,5.508576955997841,22.827365557323844
0,25478,36,14,180,0.8928895516056898,0.7972517513666099,0.6259728146856062,13.86509489095697,0.8928895516056898,13.193571963797432,3.10986795105234,65.42626210367371
0,25479,32,14,180,4.767835212986923,22.732252618198054,3.9284810742755463,32.729903245971656,4.767835212986923,23.38596886646159,3.721382612117376,27.115144491750826
0,25480,35,14,180,0.5655449050408489,0.3198410396176628,0.3537035499655227,9.378795350343614,0.5655449050408489,17.039999515033752,2.753154024380089,64.27162153426653
0,270856,66,14,180,2.906685153942731,8.448818584151079,2.335765094495919,12.426725622001992,2.906685153942731,241.09524850628108,13.23509203397028,40.49831601721144
0,28369,39,14,180,0.4441939735063776,0.1973082860993845,0.3185099109669583,6.475002877429524,0.4441939735063776,9.807370653952672,2.43588595632304,37.12830600149754
0,28404,24,14,180,6.79315226439704,46.14691768728264,5.01070159987454,19.9374797612277,6.79315226439704,145.69240928410406,9.696462203500856,29.706346978509835
0,286143,29,14,180,3.5838324748484225,12.843855207778168,2.918475831869743,33.095716475492495,3.5838324748484225,12.281828276153677,3.0506560751162515,43.39496033155605
0,28640,78,14,180,0.9984331105930386,0.996868676328491,0.74278050169959,7.071940837184647,0.9984331105930386,47.24687907029211,4.925188656505469,57.967086728952175
0,28641,54,14,180,0.8138937993627504,0.6624231166411331,0.6358112786172972,11.687153234410598,0.8138937993627504,8.530337143072014,2.44836653427981,67.44744957908276
0,28642,33,14,180,0.8352793511838639,0.6976915945141366,0.5072687041821914,9.523846218221069,0.8352793511838639,103.38371451292338,8.265180908811498,74.7602776935003
0,286750,28,14,180,0.7506874663201086,0.5635316720901042,0.5433981922917442,15.05898266551986,0.7506874663201086,8.248751804535393,2.49018725013332,117.88156818108948
0,29274,36,14,180,3.751169103574285,14.071269643610306,2.794552523969076,25.009181497761485,3.751169103574285,152.3958272906072,8.625559461932138,90.17345289350486
0,296427,63,14,180,0.7124221913658797,0.5075453787505622,0.4472830215423375,4.850731140818474,0.7124221913658797,77.98948906244699,6.992617967895174,92.03678569735284
0,302500,17,14,180,10.970830548627829,120.35912292670554,6.052805298622466,38.030226234865424,10.970830548627829,384.57781815253657,14.388927118042826,69.21213680798344
0,305099,57,14,180,2.3002713439529536,5.291248255811128,1.7622608646908462,10.007780122033664,2.3002713439529536,68.30507840558361,6.090881245688429,32.727076662001686
0,305102,24,14,180,5.075339722073719,25.75907329445933,3.980717156474992,22.191017144012605,5.075339722073719,216.7991658563194,11.99249884508504,83.17978530583049
0,3056,25,14,180,8.298148944050267,68.85927589764256,6.267965415682599,40.914724732343096,8.298148944050267,329.0479304671698,14.20065161919628,35.359949555072305
0,307380,28,14,180,0.5552529187192513,0.3083058037462474,0.4234900128881046,12.28563181289196,0.5552529187192513,9.830260523211797,2.3310884966730816,103.52142948833036
0,307381,69,14,180,0.8158952910538606,0.6656851259638639,0.5450569505148183,5.663908889512048,0.8158952910538606,43.761015640112994,5.771524008776471,48.92886163126924
0,307382,56,14,180,0.9051976047101484,0.8193827035729901,0.6157987747729419,7.156280481135993,0.9051976047101484,70.13243965099846,5.613556058182197,36.07357165250812
0,308982,21,14,180,13.471281320886256,181.475420426459,11.156263926277184,13.802466834724308,13.471281320886256,482.9580849148942,17.480529256925333,14.961958599542044
0,310778,41,14,180,2.6937346181021136,7.2562061927617405,2.177321404578509,19.333640590810983,2.6937346181021136,61.50278224570344,6.510866082643076,56.66123474003767
0,311494,69,14,180,1.8712563103361333,3.5016001789727995,1.25421365408871,9.452670536584504,1.8712563103361333,103.142982949243,8.092122640676823,174.94197961779508
0,311495,35,14,180,2.105258963447536,4.432115303176194,1.5438525455845258,13.983999069342268,2.105258963447536,31.45109292289632,4.91705763717472,72.23662381430216
0,315048,90,14,180,1.166745985097977,1.361296193742248,0.8899997429720022,9.55098955070692,1.166745985097977,43.27539173382917,5.147091007774392,57.05866787783759
0,315210,91,14,180,4.24893384380104,18.05343880899788,2.943298484133984,10.478362177800909,4.24893384380104,214.48112154680345,10.92971536255815,27.17032973313347
0,321469,49,14,180,0.6965313382571244,0.4851559051742607,0.4838642448991033,10.508068981056098,0.6965313382571244,12.559386097302772,2.454690091246927,65.76867336014348
0,331854,26,14,180,0.9423895137935044,0.8880979957079578,0.630449020027027,14.447289499752092,0.9423895137935044,109.0590028038231,8.114139590688165,65.113455112243
0,3393,45,14,180,0.7001092559127334,0.4901529702146812,0.5006064169774507,7.261314032171573,0.7001092559127334,58.50149177342889,6.302997673631554,69.30192940210028
0,339977,49,14,180,2.4766004739946954,6.133549907790751,1.640752307683326,18.243400575768845,2.4766004739946954,32.69115757096843,4.548028272085256,29.9701214484318
0,352060,27,14,180,7.337443092136361,53.83807113033961,4.360212972188272,19.530121508192813,7.337443092136361,1149.5577271974596,29.67008883639678,103.91636586782558
0,35273,29,14,180,1.3137141404056665,1.725844842701799,0.8292862556894992,12.747998334323176,1.3137141404056665,99.64871431509128,7.88807807762457,267.21456415298263
0,352978,56,14,180,1.6639081647540204,2.7685903807350924,1.269877133223595,11.262425233545596,1.6639081647540204,77.19526165240343,5.749631621576562,46.52494742649947
0,353717,28,14,180,0.5083864656709011,0.2584567984773502,0.3121321988875539,10.092991783109609,0.5083864656709011,15.584300478880143,3.178135649490526,100.60953739872484
